,title,link,price,location,km_driven,description and feautures,dealer info
592,"New 2023 Jeep Wrangler 4xe HIGH ALTITUDE for sale in Listowel, ON",https://www.carpages.ca//new-cars/ontario/listowel/2023-jeep-wrangler-9319885/,"$70,545","Listowel, ON",1KM,"2023 Jeep Wrangler 
4xe HIGH ALTITUDE","Listowel Chrysler
Li"
593,"New 2023 Porsche Cayenne  for sale in Edmonton, AB",https://www.carpages.ca//new-cars/alberta/edmonton/2023-porsche-cayenne-9319822/,"$148,310","Edmonton, AB",2KM,2023 Porsche Cayenne,Porsche Centre Edmon
594,"Used 2019 Nissan Leaf SV for sale in London, ON",https://www.carpages.ca//used-cars/ontario/london/2019-nissan-leaf-9319681/,"$38,999","London, ON","97,982KM","2019 Nissan Leaf 
SV","Empire Auto Group
Lo"
595,"Used 2021 Lexus NX 300h Executive Leather | Moonroof | BLIS for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2021-lexus-nx-300h-9319309/,"$52,000","Winnipeg, MB","24,800KM","2021 Lexus NX 300h 
Executive Leather | Moonroof | BLIS","Birchwood Lexus
Winn"
596,"Used 2019 Lexus ES ES 300h ~ HYBRID ~ NAVIGATION ~ BACK-UP CAMERA !!! for sale in Burlington, ON",https://www.carpages.ca//used-cars/ontario/burlington/2019-lexus-es-9317977/,"$39,888","Burlington, ON","72,500KM","2019 Lexus ES 
ES 300h ~ HYBRID ~ NAVIGATION ~ BACK-UP CAMERA !!!",Elite Luxury Motors 
597,"Used 2018 Porsche Cayenne S E-Hybrid Platinum Edition - Low Kms - NAVIGATION for sale in Burlington, ON",https://www.carpages.ca//used-cars/ontario/burlington/2018-porsche-cayenne-9317968/,"$65,888","Burlington, ON","57,800KM","2018 Porsche Cayenne 
S E-Hybrid Platinum Edition - Low Kms - NAVIGATION",Elite Luxury Motors 
598,"New 2022 Jeep Grand Cherokee 4xe Overland for sale in Saskatoon, SK",https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-jeep-grand-cherokee-9317755/,"$84,285","Saskatoon, SK",CALL,"2022 Jeep Grand Cherokee 
4xe Overland",Auto Clearing Chrysl
599,"New 2022 Jeep Grand Cherokee 4xe for sale in Saskatoon, SK",https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-jeep-grand-cherokee-9317737/,"$82,275","Saskatoon, SK",CALL,"2022 Jeep Grand Cherokee 
4xe",Auto Clearing Chrysl
600,New 2022 RAM 1500 SPORT 4X4 CREW CAB 5'7,https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-ram-1500-9317695/,"$74,575","Saskatoon, SK",10KM,"2022 RAM 1500 
SPORT 4X4 CREW CAB 5'7"" BOX","Dodge City Auto
Sask"
601,"New 2023 Audi Q5 Technik for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-audi-q5-9317683/,"$88,494","Winnipeg, MB",90KM,"2023 Audi Q5 
Technik","Audi Winnipeg
Winnip"
602,"New 2023 Audi Q5 PROGRESSIV for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-audi-q5-9317680/,"$67,794","Winnipeg, MB",90KM,"2023 Audi Q5 
PROGRESSIV","Audi Winnipeg
Winnip"
603,"New 2022 RAM 1500 Laramie for sale in Regina, SK",https://www.carpages.ca//new-cars/saskatchewan/regina/2022-ram-1500-9317527/,"$84,639","Regina, SK",CALL,"2022 RAM 1500 
Laramie",Crestview Chrysler D
604,"New 2022 Ford F-150 Lariat for sale in Watford, ON",https://www.carpages.ca//new-cars/ontario/watford/2022-ford-f-150-9317416/,"$81,650","Watford, ON",15KM,"2022 Ford F-150 
Lariat","Grogan Ford
Watford,"
605,"New 2022 Ford Escape Titanium Hybrid for sale in Lacombe, AB",https://www.carpages.ca//new-cars/alberta/lacombe/2022-ford-escape-9316543/,"$49,799","Lacombe, AB",27KM,"2022 Ford Escape 
Titanium Hybrid","Lacombe Ford
Lacombe"
606,"New 2022 Ford F-150 Lariat for sale in Lacombe, AB",https://www.carpages.ca//new-cars/alberta/lacombe/2022-ford-f-150-9316540/,"$83,350","Lacombe, AB",34KM,"2022 Ford F-150 
Lariat","Lacombe Ford
Lacombe"
607,"New 2022 Ford Escape SE Plug-In Hybrid for sale in Lacombe, AB",https://www.carpages.ca//new-cars/alberta/lacombe/2022-ford-escape-9316528/,"$45,919","Lacombe, AB",103KM,"2022 Ford Escape 
SE Plug-In Hybrid","Lacombe Ford
Lacombe"
608,"Used 2010 Ford F-150 XLT for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2010-ford-f-150-9316483/,"$8,995","Mississauga, ON","191,003KM","2010 Ford F-150 
XLT",Erinwood Ford Sales 
609,"Used 2015 Ford F-150 XLT for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2015-ford-f-150-9316480/,"$21,495","Mississauga, ON","181,101KM","2015 Ford F-150 
XLT",Erinwood Ford Sales 
610,"Used 2019 Tesla Model 3 Standard Range Plus RWD  - Fast Charging for sale in Steinbach, MB",https://www.carpages.ca//used-cars/manitoba/steinbach/2019-tesla-model-3-9316165/,"$54,990","Steinbach, MB","107,186KM","2019 Tesla Model 3 
Standard Range Plus RWD  - Fast Charging","Funk's Toyota
Steinb"
611,"New 2023 Hyundai Elantra Hybrid Luxury for sale in North Bay, ON",https://www.carpages.ca//new-cars/ontario/north-bay/2023-hyundai-elantra-9316144/,"$30,874","North Bay, ON",15KM,"2023 Hyundai Elantra 
Hybrid Luxury",Neddy's North Bay Hy
612,"New 2023 Hyundai Tucson Hybrid Ultimate for sale in North Bay, ON",https://www.carpages.ca//new-cars/ontario/north-bay/2023-hyundai-tucson-hybrid-9316117/,"$44,474","North Bay, ON",15KM,"2023 Hyundai Tucson Hybrid 
Ultimate",Neddy's North Bay Hy
613,"Used 2018 Toyota RAV4 AWD Hybrid LE+  - 	Heated Seats - $280 B/W for sale in Simcoe, ON",https://www.carpages.ca//used-cars/ontario/simcoe/2018-toyota-rav4-9315985/,"$34,598","Simcoe, ON","80,400KM","2018 Toyota RAV4 
AWD Hybrid LE+  - 	Heated Seats - $280 B/W","Southcoast Hyundai
S"
614,"Used 2018 Chevrolet Malibu Hybrid  CAM BLIND-SPOT REM-START for sale in St. Catharines, ON",https://www.carpages.ca//used-cars/ontario/st-catharines/2018-chevrolet-malibu-9315964/,"$24,498","St. Catharines, ON","82,553KM","2018 Chevrolet Malibu 
Hybrid  CAM BLIND-SPOT REM-START","CMH AUTO SUPERSTORE
"
615,"Used 2021 Lexus UX UX 250H for sale in Richmond Hill, ON",https://www.carpages.ca//used-cars/ontario/richmond-hill/2021-lexus-ux-9315946/,"$45,777","Richmond Hill, ON","19,380KM","2021 Lexus UX 
UX 250H","Plaza Kia
Richmond H"
616,"Used 2017 Toyota RAV4 Hybrid LE+ - Hybrid! Save On Fuel! + Hitch for sale in Vancouver, BC",https://www.carpages.ca//used-cars/british-columbia/vancouver/2017-toyota-rav4-9315625/,"$32,995","Vancouver, BC","123,416KM","2017 Toyota RAV4 
Hybrid LE+ - Hybrid! Save On Fuel! + Hitch","Destination Mazda
Va"
617,"Used 2017 Porsche Cayenne S PLATINUM EDITION I PANO I NAV I COMING SOON for sale in Vaughan, ON",https://www.carpages.ca//used-cars/ontario/vaughan/2017-porsche-cayenne-9315241/,"$62,910","Vaughan, ON","54,194KM","2017 Porsche Cayenne 
S PLATINUM EDITION I PANO I NAV I COMING SOON",Toronto Auto Brokers
618,"New 2022 Ford F-150  for sale in Edmonton, AB",https://www.carpages.ca//new-cars/alberta/edmonton/2022-ford-f-150-9314719/,"$93,580","Edmonton, AB",2KM,2022 Ford F-150,"Kentwood Ford
Edmont"
619,"Used 2022 Toyota Corolla  for sale in Richmond, BC",https://www.carpages.ca//used-cars/british-columbia/richmond/2022-toyota-corolla-9314671/,"$42,888","Richmond, BC","7,753KM",2022 Toyota Corolla,"Columbia Chrysler
Ri"
620,"Used 2020 Toyota RAV4 HYBRID XSE MODEL, AWD, LEATHER SEATS, PANORAMIC RO for sale in Toronto, ON",https://www.carpages.ca//used-cars/ontario/toronto/2020-toyota-rav4-9314080/,"$44,999","Toronto, ON","84,924KM","2020 Toyota RAV4 
HYBRID XSE MODEL, AWD, LEATHER SEATS, PANORAMIC RO",Good Fellows Auto Wh
621,"Used 2008 Lexus RX 400h 4WD 4dr Hybrid for sale in Scarborough, ON",https://www.carpages.ca//used-cars/ontario/scarborough/2008-lexus-rx-400h-9313972/,"$10,995","Scarborough, ON","159,000KM","2008 Lexus RX 400h 
4WD 4dr Hybrid","A.S.D. Auto Sales
Sc"
622,"Used 2015 Infiniti Q50 Hybrid Premium NAVI | BACKUP CAM | SUNROOF | MEM SEATS for sale in Burlington, ON",https://www.carpages.ca//used-cars/ontario/burlington/2015-infiniti-q50-9313789/,"$29,995","Burlington, ON","98,155KM","2015 Infiniti Q50 
Hybrid Premium NAVI | BACKUP CAM | SUNROOF | MEM SEATS",Leggat Discovery For
623,"Used 2012 Nissan Leaf SL ELECTRIC ZERO EMISSION CERTIFIED CAMERA NAV BLUETOOTH HEATED SEATS CRUISE ALLOYS for sale in Milton, ON",https://www.carpages.ca//used-cars/ontario/milton/2012-nissan-leaf-9313759/,"$14,995","Milton, ON","82,918KM","2012 Nissan Leaf 
SL ELECTRIC ZERO EMISSION CERTIFIED CAMERA NAV BLUETOOTH HEATED SEATS CRUISE ALLOYS",Auto Moto of Ontario
624,"Used 2022 Hyundai Santa Fe HEV 1.6LT/Luxury/Hybrid for sale in Grimsby, ON",https://www.carpages.ca//used-cars/ontario/grimsby/2022-hyundai-santa-fe-9313636/,"$56,900","Grimsby, ON",745KM,"2022 Hyundai Santa Fe 
HEV 1.6LT/Luxury/Hybrid",Wills Chevrolet Buic
625,"Used 2022 Tesla Model 3 Long Range AWD *Ltd Avail* for sale in Scarborough, ON",https://www.carpages.ca//used-cars/ontario/scarborough/2022-tesla-model-3-9313552/,"$74,895","Scarborough, ON",100KM,"2022 Tesla Model 3 
Long Range AWD *Ltd Avail*","Octane Used Cars
Sca"
626,"Used 2022 Tesla Model X Longrange for sale in Brantford, ON",https://www.carpages.ca//used-cars/ontario/brantford/2022-tesla-model-x-9313168/,"$167,998","Brantford, ON","10,596KM","2022 Tesla Model X 
Longrange","Brant Automotive
Bra"
627,"New 2022 Ford Escape SE Hybrid for sale in Salmon Arm, BC",https://www.carpages.ca//new-cars/british-columbia/salmon-arm/2022-ford-escape-9313123/,"$42,694","Salmon Arm, BC",867KM,"2022 Ford Escape 
SE Hybrid","Jacobson Ford
Salmon"
628,New 2022 RAM 1500 Tradesman 4x4 Crew Cab 5'7,https://www.carpages.ca//new-cars/saskatchewan/saskatoon/2022-ram-1500-9312811/,"$53,730","Saskatoon, SK",302KM,"2022 RAM 1500 
Tradesman 4x4 Crew Cab 5'7"" Box","Dodge City Auto
Sask"
629,"New 2023 Jeep Wrangler 4xe RUBICON for sale in Bolton, ON",https://www.carpages.ca//new-cars/ontario/bolton/2023-jeep-wrangler-9312556/,"$74,285","Bolton, ON",30KM,"2023 Jeep Wrangler 
4xe RUBICON",CarHub Caledon Chrys
630,"Used 2013 Toyota Camry HYBRID LE Hybrid Low KMS for sale in Ottawa, ON",https://www.carpages.ca//used-cars/ontario/ottawa/2013-toyota-camry-9312151/,"$16,980","Ottawa, ON","106,925KM","2013 Toyota Camry 
HYBRID LE Hybrid Low KMS","Wallace Automobiles
"
631,"Used 2008 Ford F-150 XLT for sale in Brandon, MB",https://www.carpages.ca//used-cars/manitoba/brandon/2008-ford-f-150-9311980/,"$6,500","Brandon, MB","198,849KM","2008 Ford F-150 
XLT","Kelleher Ford
Brando"
632,"New 2022 Ford F-150 XLT for sale in Brandon, MB",https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9311962/,"$60,920","Brandon, MB",16KM,"2022 Ford F-150 
XLT","Kelleher Ford
Brando"
633,"Used 2021 Hyundai KONA Electric PREFERRED for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2021-hyundai-kona-9311653/,"$47,990","Mississauga, ON","36,255KM","2021 Hyundai KONA 
Electric PREFERRED","B Town Auto Sales
Mi"
634,"Used 2017 Ford Focus Electric CUIR * NAVIGATION * for sale in Saint-Jean-sur-Richelieu, QC",https://www.carpages.ca//used-cars/quebec/saint-jean-sur-richelieu/2017-ford-focus-9311533/,"$22,493","Saint-Jean-sur-Richelieu, QC","76,769KM","2017 Ford Focus 
Electric CUIR * NAVIGATION *","Saint-Jean Hyundai
S"
635,"Used 2021 Tesla Model 3  for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2021-tesla-model-3-9311386/,"$58,982","Surrey, BC","34,222KM",2021 Tesla Model 3,"Go Dodge Surrey
Surr"
636,"New 2023 Toyota RAV4 Hybrid XSE Technology Pkg | Factory Order - Custom for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-toyota-rav4-9311107/,"$48,263","Winnipeg, MB",CALL,"2023 Toyota RAV4 
Hybrid XSE Technology Pkg | Factory Order - Custom","Birchwood Toyota
Win"
637,"New 2023 Toyota RAV4 Hybrid XSE Factory Order - Custom for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-toyota-rav4-9311104/,"$45,703","Winnipeg, MB",CALL,"2023 Toyota RAV4 
Hybrid XSE Factory Order - Custom","Birchwood Toyota
Win"
638,"New 2022 Lincoln Corsair Grand Touring for sale in Chatham, ON",https://www.carpages.ca//new-cars/ontario/chatham/2022-lincoln-corsair-9331687/,"$70,925","Chatham, ON",CALL,"2022 Lincoln Corsair 
Grand Touring","Victory Ford
Chatham"
639,"New 2023 Audi Q7 Technik for sale in Winnipeg, MB",https://www.carpages.ca//new-cars/manitoba/winnipeg/2023-audi-q7-9331666/,"$96,209","Winnipeg, MB",90KM,"2023 Audi Q7 
Technik","Audi Winnipeg
Winnip"
640,"Used 2022 Ford Escape SE Hybrid AWD - 43MPG! Heated Seats, Htd Wheel, Rmt Strt!! for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2022-ford-escape-9331648/,"$44,800","Winnipeg, MB","2,000KM","2022 Ford Escape 
SE Hybrid AWD - 43MPG! Heated Seats, Htd Wheel, Rmt Strt!!",Auto Show Sales & Fi
641,"Used 2022 Honda Accord Hybrid Sedan - Sunroof, Power+Heated Seats, HondaSensing Tech, Apple CarPlay, Remote Start & More! for sale in Guelph, ON",https://www.carpages.ca//used-cars/ontario/guelph/2022-honda-accord-9331471/,"$44,998","Guelph, ON","35,000KM","2022 Honda Accord 
Hybrid Sedan - Sunroof, Power+Heated Seats, HondaSensing Tech, Apple CarPlay, Remote Start & More!",Mark Wilson's Better
642,"Used 2017 Ford Fusion Energi SE Luxury Energi - Navigation, Leather, Heated+Power Seats, Reverse Camera, CarPlay & More! for sale in Guelph, ON",https://www.carpages.ca//used-cars/ontario/guelph/2017-ford-fusion-9331465/,"$249,998","Guelph, ON","81,000KM","2017 Ford Fusion 
Energi SE Luxury Energi - Navigation, Leather, Heated+Power Seats, Reverse Camera, CarPlay & More!",Mark Wilson's Better
643,"New 2023 Jeep Wrangler 4xe Unlimited Sahara for sale in Bolton, ON",https://www.carpages.ca//new-cars/ontario/bolton/2023-jeep-wrangler-9331363/,"$75,045","Bolton, ON",20KM,"2023 Jeep Wrangler 
4xe Unlimited Sahara",CarHub Caledon Chrys
644,New 2022 RAM 1500 SPORT 4X4 CREW CAB 5'7,https://www.carpages.ca//new-cars/nova-scotia/barrington/2022-ram-1500-9331240/,"$75,445","Barrington, NS",CALL,"2022 RAM 1500 
SPORT 4X4 CREW CAB 5'7"" BOX",Smith & Watt Chrysle
645,"New 2023 Ford F-150 XLT for sale in Brandon, MB",https://www.carpages.ca//new-cars/manitoba/brandon/2023-ford-f-150-9330997/,"$74,855","Brandon, MB",16KM,"2023 Ford F-150 
XLT","Kelleher Ford
Brando"
646,"New 2022 Ford F-150 Lariat for sale in Brandon, MB",https://www.carpages.ca//new-cars/manitoba/brandon/2022-ford-f-150-9330994/,"$85,089","Brandon, MB",16KM,"2022 Ford F-150 
Lariat","Kelleher Ford
Brando"
647,"Used 2018 Lexus ES 300h  - Sunroof -  Wood Trim -  Cooled Seats for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2018-lexus-es-9330643/,"$40,997","Surrey, BC","87,500KM","2018 Lexus ES 
300h  - Sunroof -  Wood Trim -  Cooled Seats","White Rock Dodge
Sur"
648,"New 2023 Ford F-150 Lightning Lariat High Package for sale in Selkirk, MB",https://www.carpages.ca//new-cars/manitoba/selkirk/2023-ford-f-150-9330604/,"$112,669","Selkirk, MB",20KM,"2023 Ford F-150 
Lightning Lariat High Package","Steeltown Ford
Selki"
649,"New 2023 Ford F-150 Lightning Lariat  - $639 B/W for sale in Fort St John, BC",https://www.carpages.ca//new-cars/british-columbia/fort-st-john/2023-ford-f-150-9330550/,"$94,140","Fort St John, BC",CALL,"2023 Ford F-150 
Lightning Lariat  - $639 B/W","Fort Motors
Fort St "
650,"New 2022 Ford Explorer Limited Hybrid  - Leather Seats - $436 B/W for sale in Fort St John, BC",https://www.carpages.ca//new-cars/british-columbia/fort-st-john/2022-ford-explorer-9330538/,"$66,174","Fort St John, BC",CALL,"2022 Ford Explorer 
Limited Hybrid  - Leather Seats - $436 B/W","Fort Motors
Fort St "
651,"Used 2021 Jeep Wrangler Unlimited Rubicon 4xe  Navi/ Leather/ Hard Top for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2021-jeep-wrangler-9330499/,"$76,885","Surrey, BC","15,102KM","2021 Jeep Wrangler 
Unlimited Rubicon 4xe  Navi/ Leather/ Hard Top","Langley Chrysler
Sur"
652,"New 2023 Jeep Wrangler Sahara  - Heated Seats for sale in Surrey, BC",https://www.carpages.ca//new-cars/british-columbia/surrey/2023-jeep-wrangler-9330478/,"$70,300","Surrey, BC",CALL,"2023 Jeep Wrangler 
Sahara  - Heated Seats","Langley Chrysler
Sur"
653,"New 2022 Toyota RAV4 XLE Premium for sale in High River, AB",https://www.carpages.ca//new-cars/alberta/high-river/2022-toyota-rav4-9330430/,"$39,680","High River, AB",11KM,"2022 Toyota RAV4 
XLE Premium","High River Toyota
Hi"
654,"New 2022 Toyota RAV4 XLE  - Sunroof -  Power Liftgate for sale in High River, AB",https://www.carpages.ca//new-cars/alberta/high-river/2022-toyota-rav4-9330427/,"$36,680","High River, AB",8KM,"2022 Toyota RAV4 
XLE  - Sunroof -  Power Liftgate","High River Toyota
Hi"
655,"New 2023 Hyundai Tucson Hybrid Ultimate  - $362 B/W for sale in Kanata, ON",https://www.carpages.ca//new-cars/ontario/kanata/2023-hyundai-tucson-hybrid-9330235/,"$46,340","Kanata, ON",CALL,"2023 Hyundai Tucson Hybrid 
Ultimate  - $362 B/W",Myers Automotive Gro
656,"Used 2017 Tesla Model X 100D for sale in Vancouver, BC",https://www.carpages.ca//used-cars/british-columbia/vancouver/2017-tesla-model-x-9329737/,"$83,980","Vancouver, BC","88,500KM","2017 Tesla Model X 
100D","Blue Star Motors
Van"
657,"Used 2019 Tesla Model 3 Stand Range Plus FSD! Autopilot NO ACCIDENTS! loca for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2019-tesla-model-3-9329401/,"$47,991","Winnipeg, MB","74,721KM","2019 Tesla Model 3 
Stand Range Plus FSD! Autopilot NO ACCIDENTS! loca",The Car Store on Mai
658,"Used 2022 Toyota RAV4  for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2022-toyota-rav4-9329326/,"$51,872","Surrey, BC","7,650KM",2022 Toyota RAV4,"Go Dodge Surrey
Surr"
659,"Used 2021 Toyota Corolla Hybrid HYBRID PREMIUM-LEATHER+PWR SEAT+MORE! for sale in Cobourg, ON",https://www.carpages.ca//used-cars/ontario/cobourg/2021-toyota-corolla-9328999/,"$35,813","Cobourg, ON","15,989KM","2021 Toyota Corolla 
Hybrid HYBRID PREMIUM-LEATHER+PWR SEAT+MORE!","Vandermeer Toyota
Co"
660,"Used 2021 Toyota Venza XLE AWD for sale in Toronto, ON",https://www.carpages.ca//used-cars/ontario/toronto/2021-toyota-venza-9328372/,"$52,988","Toronto, ON","36,000KM","2021 Toyota Venza 
XLE AWD",Shaw Automotive Grou
661,"Used 2019 Toyota RAV4 Hybrid XLE for sale in Cambridge, ON",https://www.carpages.ca//used-cars/ontario/cambridge/2019-toyota-rav4-9328072/,"$38,989","Cambridge, ON","116,673KM","2019 Toyota RAV4 
Hybrid XLE","Cambridge Toyota
Cam"
662,"Used 2021 Ford Escape Titanium Hybrid for sale in Hamilton, ON",https://www.carpages.ca//used-cars/ontario/hamilton/2021-ford-escape-9328048/,"$40,907","Hamilton, ON","57,249KM","2021 Ford Escape 
Titanium Hybrid",Airport Ford Lincoln
663,"Used 2019 Chevrolet Bolt EV LT CARFAX CLEAN! for sale in Oakville, ON",https://www.carpages.ca//used-cars/ontario/oakville/2019-chevrolet-bolt-9327703/,"$36,950","Oakville, ON","105,998KM","2019 Chevrolet Bolt 
EV LT CARFAX CLEAN!","Shift Motors
Oakvill"
664,"Used 2018 Tesla Model 3 LONG RANGE FULL SELF DRIVE, WRAPPED! for sale in Oakville, ON",https://www.carpages.ca//used-cars/ontario/oakville/2018-tesla-model-3-9327598/,"$49,700","Oakville, ON","133,152KM","2018 Tesla Model 3 
LONG RANGE FULL SELF DRIVE, WRAPPED!","Shift Motors
Oakvill"
665,"Used 2017 Lincoln MKZ Hybrid Select for sale in Saskatoon, SK",https://www.carpages.ca//used-cars/saskatchewan/saskatoon/2017-lincoln-mkz-9327373/,"$30,000","Saskatoon, SK","68,453KM","2017 Lincoln MKZ 
Hybrid Select",Auto Clearing Chrysl
666,"Used 2022 Hyundai Elantra Hybrid ULTIMATE for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2022-hyundai-elantra-9327190/,"$40,995","Mississauga, ON","3,655KM","2022 Hyundai Elantra 
Hybrid ULTIMATE","401 Dixie Hyundai
Mi"
667,"Used 2019 Honda Clarity Plug-In Hybrid SD for sale in Mississauga, ON",https://www.carpages.ca//used-cars/ontario/mississauga/2019-honda-clarity-9327157/,"$39,995","Mississauga, ON","44,765KM","2019 Honda Clarity 
Plug-In Hybrid SD","401 Dixie Hyundai
Mi"
668,"New 2022 RAM 1500 Laramie for sale in Regina, SK",https://www.carpages.ca//new-cars/saskatchewan/regina/2022-ram-1500-9327079/,"$84,534","Regina, SK",CALL,"2022 RAM 1500 
Laramie",Crestview Chrysler D
669,"Used 2018 Toyota RAV4 Hybrid SE for sale in Prince Albert, SK",https://www.carpages.ca//used-cars/saskatchewan/prince-albert/2018-toyota-rav4-9326917/,"$41,995","Prince Albert, SK","59,053KM","2018 Toyota RAV4 
Hybrid SE",Prince Albert Toyota
670,"New 2022 Ford F-150 Lariat for sale in Tilbury, ON",https://www.carpages.ca//new-cars/ontario/tilbury/2022-ford-f-150-9326707/,"$83,900","Tilbury, ON",CALL,"2022 Ford F-150 
Lariat","Lally Ford 
Tilbury,"
671,"Used 2019 Honda Clarity Plug-In Hybrid EPA Rated 110 MPGe... Honda Warranty to 2027!! for sale in Winnipeg, MB",https://www.carpages.ca//used-cars/manitoba/winnipeg/2019-honda-clarity-9326575/,"$41,800","Winnipeg, MB","18,000KM","2019 Honda Clarity 
Plug-In Hybrid EPA Rated 110 MPGe... Honda Warranty to 2027!!",Auto Show Sales & Fi
672,"Used 2021 Hyundai KONA Electric Ultimate for sale in Vancouver, BC",https://www.carpages.ca//used-cars/british-columbia/vancouver/2021-hyundai-kona-9325108/,"$52,995","Vancouver, BC","43,869KM","2021 Hyundai KONA 
Electric Ultimate","Destination Mazda
Va"
673,"Used 2023 Kia EV6 NO ACCIDENTS ONE OWNER LOW KM for sale in Richmond, BC",https://www.carpages.ca//used-cars/british-columbia/richmond/2023-kia-ev6-9325048/,"$75,608","Richmond, BC",47KM,"2023 Kia EV6 
NO ACCIDENTS ONE OWNER LOW KM",Richmond Chrysler Do
674,"Used 2023 Toyota Camry  for sale in Surrey, BC",https://www.carpages.ca//used-cars/british-columbia/surrey/2023-toyota-camry-9324745/,"$55,987","Surrey, BC","1,155KM",2023 Toyota Camry,"Go Dodge Surrey
Surr"
675,"Used 2021 Volkswagen ID.4 Pro for sale in London, ON",https://www.carpages.ca//used-cars/ontario/london/2021-volkswagen-id4-9324505/,"$77,988","London, ON","9,752KM","2021 Volkswagen ID.4 
Pro","Empire Auto Group
Lo"
676,"New 2022 Ford F-150 Lariat LARIAT 4WD SuperCrew 5.5' Box for sale in Newmarket, ON",https://www.carpages.ca//new-cars/ontario/newmarket/2022-ford-f-150-9324418/,"$68,400","Newmarket, ON",26KM,"2022 Ford F-150 
Lariat LARIAT 4WD SuperCrew 5.5' Box","Southlake Ford
Newma"
677,"Used 2018 Chevrolet Volt LT for sale in Kanata, ON",https://www.carpages.ca//used-cars/ontario/kanata/2018-chevrolet-volt-9323557/,"$28,999","Kanata, ON","74,308KM","2018 Chevrolet Volt 
LT",Capital Dodge Chrysl
678,"New 2023 Toyota Sienna XLE 8-Pass XLE 8-Pass for sale in Portage la Prairie, MB",https://www.carpages.ca//new-cars/manitoba/portage-la-prairie/2023-toyota-sienna-9322744/,"$47,139.32","Portage la Prairie, MB",10KM,"2023 Toyota Sienna 
XLE 8-Pass XLE 8-Pass","Portage Toyota
Porta"
679,"Used 2019 Ford Fusion Hybrid Titanium - Leather, Sunroof, Navigation, Remote Start for sale in Saskatoon, SK",https://www.carpages.ca//used-cars/saskatchewan/saskatoon/2019-ford-fusion-9322189/,"$25,400","Saskatoon, SK","159,060KM","2019 Ford Fusion 
Hybrid Titanium - Leather, Sunroof, Navigation, Remote Start",Saskatoon Motor Prod
680,"New 2023 Jeep Wrangler 4xe Sahara for sale in Bolton, ON",https://www.carpages.ca//new-cars/ontario/bolton/2023-jeep-wrangler-9321817/,"$68,545","Bolton, ON",13KM,"2023 Jeep Wrangler 
4xe Sahara",CarHub Caledon Chrys
681,"New 2023 Jeep Wrangler 4xe Unlimited Sahara for sale in Bolton, ON",https://www.carpages.ca//new-cars/ontario/bolton/2023-jeep-wrangler-9321814/,"$69,785","Bolton, ON",20KM,"2023 Jeep Wrangler 
4xe Unlimited Sahara",CarHub Caledon Chrys
682,"Used 2021 Mercedes-Benz GLE GLE 450 for sale in Thornhill, ON",https://www.carpages.ca//used-cars/ontario/thornhill/2021-mercedes-benz-gle-9321805/,"$83,888","Thornhill, ON","11,593KM","2021 Mercedes-Benz GLE 
GLE 450",CarHub North York Ch
683,"Used 2020 Ford Fusion Energi SEL for sale in Thornhill, ON",https://www.carpages.ca//used-cars/ontario/thornhill/2020-ford-fusion-9321802/,"$35,998","Thornhill, ON",667KM,"2020 Ford Fusion 
Energi SEL",CarHub North York Ch
684,"New 2023 Ford F-150 XLT for sale in Ottawa, ON",https://www.carpages.ca//new-cars/ontario/ottawa/2023-ford-f-150-9321340/,"$76,205","Ottawa, ON",26KM,"2023 Ford F-150 
XLT","Barrhaven Ford
Ottaw"
685,"New 2022 Ford F-150 XLT for sale in Peterborough, ON",https://www.carpages.ca//new-cars/ontario/peterborough/2022-ford-f-150-9321304/,"$56,220","Peterborough, ON",CALL,"2022 Ford F-150 
XLT",Holiday Ford Lincoln
686,"New 2022 Ford F-150 Lariat for sale in Mississauga, ON",https://www.carpages.ca//new-cars/ontario/mississauga/2022-ford-f-150-9321268/,"$83,875","Mississauga, ON",CALL,"2022 Ford F-150 
Lariat",Erinwood Ford Sales 
